en_core_web_sm,fr_core_news_sm
i m immune .,je suis immunise .
i m looking forward to going to the zoo with you .,j ai hate d aller au zoo avec toi .
i am happy to see you again .,je suis heureux de te revoir .
i m going to need your help .,j aurai besoin de votre aide .
i m getting off the train at the next station .,je descends du train a la prochaine station .
we re running out of ideas .,nous commencons a etre a court d idees .
he is good at football .,il est bon au foot .
you are deceiving yourself .,tu te leurres .
we re unhappy .,nous ne sommes pas satisfaites .
you re an irresponsible idiot .,vous etes une idiote irresponsable .
i m tired of pretending .,j en ai assez de faire semblant .
i m really proud of those guys .,je suis vraiment fier de ces mecs .
i am right .,j ai raison .
i m going .,je pars maintenant .
you re morons .,vous etes des cretins .
he is leaving for new york next week .,il part pour new york la semaine prochaine .
i m still not sure .,je ne suis toujours pas sur .
i m sorry to disturb you but there s a phone call for you .,je suis desole de vous deranger mais il y a un appel telephonique pour vous .
i m not a doctor but a teacher .,je ne suis pas medecin mais professeur .
i m very excited and happy .,je suis tres excite et content .
you re temperamental .,tu es fantasque .
he s sitting on the fence .,il ne se prononce pas .
i m a dancer .,je suis danseuse .
we re expecting lousy weather today .,nous attendons du mauvais temps aujourd hui .
i m going to give you one more chance .,je vais te donner une chance de plus .
you re adventurous .,tu es aventureuse .
they re falling through the cracks .,ils passent a travers les mailles du filet .
i m volunteering .,je me porte volontaire .
i m a patient man .,je suis un homme patient .
she s waiting for you at home .,elle vous attend chez elle .
i m sorry for what i did .,desole de ce que j ai fait .
i m too busy .,je suis trop affaire .
he s a cheat and a liar .,c est un tricheur et un menteur .
he s curious about everything .,il est curieux de tout .
they are jealous of us .,ils sont jaloux de nous .
you re taller than me .,vous etes plus grandes que moi .
i m sorry for all the pain i caused you .,je suis desolee pour toute la douleur que je vous ai causee .
you re the best man for the job .,tu es le meilleur pour ce travail .
you re very intelligent .,tu es tres intelligent .
you re so mean .,vous etes si mechant .
i m one of your employees .,je suis un de tes employes .
i m writing a song .,j ecris une chanson .
you re very good .,vous etes tres bon .
i m sorry i missed your birthday .,je suis desolee d avoir rate ton anniversaire .
i m not on anybody s side .,je ne suis dans le camp de personne .
i m not sure how to answer this .,je ne suis pas sur de quoi repondre a cette question .
he is in love with her .,il est amoureux d elle .
i m looking for the perfect spot to hang this picture .,je cherche l emplacement ideal pour accrocher ce tableau .
i m excited .,je suis excitee .
i am looking for a book about medieval spain .,je cherche un livre traitant de l espagne medievale .
we re not going to make it in time .,on ne reussira pas a arriver a l heure .
they re probably all dead now .,ils sont probablement tous morts a l heure qu il est .
i m farsighted .,je vois loin .
i m sure the two of you agree .,je suis sur que vous etes toutes les deux d accord .
you re the one who planted that tree .,tu es celle qui a plante cet arbre .
i m trying to figure out something .,j essaye de comprendre quelque chose .
i m very strict .,je suis tres strict .
you re very helpful .,tu es fort serviable .
he is unable to buy a car .,il est incapable d acheter une voiture .
he s a student of japanese literature .,il est etudiant en litterature japonaise .
they re strong .,elles sont fortes .
we re hardly ever home .,on n est pratiquement jamais chez nous .
he is no longer welcome here .,il n est plus le bienvenu ici .
he is always reading .,il est toujours en train de lire .
i m able to run .,je peux courir .
he s very honest so we can rely on him .,il est tres honnete donc nous pouvons nous fier a lui .
he is suffering from a toothache .,il souffre d un mal de dents .
i m getting tired of it .,je commence a en avoir marre .
we re not your enemy .,nous ne sommes pas vos ennemis .
i m not against people owning guns .,je ne suis pas opposee a ce que les gens possedent des armes .
i m going to swim every day .,je vais nager quotidiennement .
i m sure tom did his best .,je suis sur que tom a fait de son mieux .
you re not bruised .,tu n es pas contusionne .
i m sorry i really am .,je suis desole vraiment .
she is used to sitting .,elle est habituee a se tenir assise .
i m not at fault .,je ne suis pas en tort .
you re too polite .,tu es trop polie .
they re lucky to be alive .,elles ont de la chance d etre vivantes .
you re really gorgeous .,vous etes vraiment splendides .
i m an attorney .,je suis avocate .
i m fed up with your constant complaining .,j en ai marre de t entendre raler constamment .
i m really proud of you .,je suis reellement fier de toi .
i m not done with you .,je n en ai pas fini avec toi .
i m too tired to walk .,je suis trop fatigue pour marcher .
i m no expert .,je ne suis pas un expert .
we are brother and sister .,nous sommes frere et s ur .
they re not my friends .,ce ne sont pas mes amis .
i m out of shape .,je ne suis pas en forme .
they re quiet .,ils sont calmes .
i m in my office .,je suis dans mon bureau .
i m sorry i hurt you .,je suis desolee de t avoir blesse .
i m not as stupid as you think i am .,je ne suis pas aussi bete que tu le penses .
you re still mad aren t you ?,vous etes encore en colere n est ce pas ?
you re very forward .,tu es fort effrontee .
they re doctors .,elles sont medecins .
i m a friend .,je suis un ami .
he is not my son but my nephew .,ce n est pas mon fils c est mon neveu .
we re working at the moment .,nous travaillons a l instant .
we re all students .,nous sommes tous etudiants .
you re incredibly talented .,vous etes incroyablement talentueuse .
they re upstairs .,elles sont a l etage .
i m glad i don t have your job .,je suis content de ne pas avoir votre travail .
i m sure everything will be ok .,je suis sur que tout se passera bien .
i am afraid they can t get along very well .,j ai peur qu ils ne s entendent pas tres bien .
he is not strong as before .,il n est plus aussi fort qu avant .
you re parked in my spot .,t es gare sur ma place .
i m as tired as tired can be .,je suis aussi fatigue que l on peut l etre .
he is in trouble .,il a des ennuis .
he is madly in love with that girl .,il est follement amoureux de cette fille .
i m not sure i understand .,je ne suis pas sure de comprendre .
i m not going to change .,je ne vais pas changer .
i m not sure what happened .,je ne suis pas sur de ce qui s est passe .
i m sorry but it s just not possible .,je suis desole mais c est tout simplement impossible .
they are running in the park .,ils courent dans le parc .
i m a law student .,je suis etudiante en droit .
we re not ready .,nous ne sommes pas pretes .
i m too old for this sort of thing .,je suis trop vieux pour ce genre de choses .
you re all hypocritical .,vous etes tous hypocrites .
you re very smart .,tu es tres intelligente .
she is dark skinned .,elle a la peau noire .
you re in luck .,vous etes veinard .
i m still concerned .,je suis toujours inquiet .
you re not being very supportive .,vous ne me soutenez pas beaucoup .
i m working with you .,je travaille avec toi .
you re probably too young to understand what s happening .,vous etes probablement trop jeune pour comprendre ce qui se passe .
you re smarter than me .,tu es plus intelligente que moi .
i m so happy that christmas is here .,je suis si heureux que noel soit la .
i am in the second year of high school .,je suis en premiere .
i m not good at expressing my feelings .,je ne suis pas bonne pour exprimer mes sentiments .
he s going to sit here .,il va s asseoir ici .
you re young and strong .,vous etes jeune et fort .
i m ready to go now .,je suis pret a partir maintenant .
you re the master .,tu es la maitresse .
we re not together anymore .,nous ne sommes plus ensemble .
she s an angel .,c est un ange .
i m a second year student .,je suis etudiant en deuxieme annee .
i m trying .,j essaye .
she s turning red .,elle devient rouge .
we are both in the same class .,nous sommes toutes les deux dans la meme classe .
i m not frightened of ghosts .,je n ai pas peur des fantomes .
i m resourceful .,je suis plein de ressources .
i m not going to eat that much .,je vais pas manger autant .
i m too sleepy to eat .,j ai trop sommeil pour manger .
they are aware of the difficulties .,ils sont conscients des difficultes .
we re not allowed to do that here .,on n a pas le droit de faire ca ici .
i m going to eat a peach .,je mangerai une peche .
i m curious .,je suis curieux .
i m no longer afraid of spiders .,je n ai plus peur des araignees .
you re prudent .,vous etes prudent .
i m going to flunk .,je vais etre recale .
i m not at all interested in physics .,je ne suis pas du tout interesse par la physique .
they re doing ok .,ils vont bien .
you re stuck .,t es plantee .
i m supposed to be the one helping you .,je suis supposee etre celle qui vous aide .
i m terrible at tennis .,je suis nulle au tennis .
we are under his command .,nous sommes sous son commandement .
you re too slow .,tu es trop lente .
you re very nice .,vous etes tres gentilles .
you re really incredible .,tu es vraiment incroyable .
i m going to sleep on it .,je vais y songer .
he is studying at kyoto university .,il etudie a l universite de kyoto .
i m very interested in those stories .,ces histoires m interessent beaucoup .
you re grumpy .,tu es grognon .
i m not very good at writing songs .,je ne suis pas tres fort pour ecrire des chansons .
i am very poor at sports .,je suis tres mediocre en sport .
they re up to no good .,ils font des affaires pas correctes .
i m a man who can t stand being alone .,je suis un homme qui ne supporte pas d etre seul .
i m used to it .,j y suis accoutume .
i am forbidden to stay out after o clock .,je n ai pas le droit de rester dehors apres heures .
i m overreacting .,je sur reagis .
they re similar .,elles sont similaires .
i m not really that old .,je ne suis pas vraiment aussi vieille .
you re very good .,vous etes tres bonne .
i m not a psychic .,je ne pratique pas la divination .
i m motivated .,je suis motivee .
he is a great scientist .,c est un grand scientifique .
i m applying for a job .,je postule pour un emploi .
i m convinced that you re right .,je suis convaincue que vous avez raison .
i m in my hotel room .,je suis dans ma chambre d hotel .
he s out of position .,il n est pas a sa place .
we re downsizing .,nous reduisons la voilure .
i m trying not to be seen .,j essaye de ne pas etre vu .
i m sorry that you didn t sleep well .,je suis desolee que tu n aies pas bien dormi .
you re the master .,tu es le maitre .
you are welcome here .,vous etes bienvenue ici .
i m sorry tom isn t here .,je suis desole que tom ne soit pas la .
you re hurting him .,vous lui faites mal .
i m going to wash the dishes .,je vais faire la vaisselle .
you are very courageous .,vous etes tres courageux .
i m strongly opposed to a compromise .,je suis farouchement oppose a un compromis .
we re not going to make it .,ca va pas le faire .
she is as beautiful as ever .,elle est belle comme toujours .
they are from the united states .,elles sont des etats unis .
i m definitely going crazy .,je deviens certainement fou .
i m happy because you re here .,je suis heureux parce que vous etes ici .
they re looking for you .,ils sont en train de vous chercher .
i m as tall as you .,je suis aussi grande que vous .
you re watching tv all the time .,tu regardes tout le temps la tele .
i m sure that you can find something to eat in the refrigerator .,je suis persuade que tu vas trouver quelque chose a manger dans le refrigerateur .
you re patient .,tu es patient .
you re not suggesting tom could have done it are you ?,vous n etes pas en train de suggerer que tom aurait pu le faire non ?
you re not ready .,tu n es pas prete .
i m feeling pretty confident .,je me sens assez confiant .
you re very brave .,tu es tres courageuse .
he is no longer living here .,il n habite plus ici .
i m not sure tom is ready .,je ne suis pas sure que tom soit pret .
i am concerned about his health .,je crains pour sa sante .
they re hard to find .,elles sont dures a trouver .
we re prisoners .,nous sommes des prisonnieres .
i m on your side .,je suis a ton cote .
i m not sure about that .,je n en suis pas sure .
they re outside .,elles sont dehors .
i am not a prophet .,je ne suis pas un prophete .
i m sorry i m late .,excusez mon retard .
i m very busy today .,je suis tres occupe aujourd hui .
you re not the only canadian here .,vous n etes pas la seule canadienne ici .
i m hungry now .,j ai maintenant faim .
i m working on a big project .,je travaille sur un gros projet .
you re not good at this .,vous n y etes pas bonnes .
you re welcome .,avec plaisir .
you re too naive .,tu es trop naive .
i m not on duty .,je suis pas en service .
we re not cowards .,nous ne sommes pas des laches .
i m staying for another few weeks .,je reste pour quelques autres semaines .
you re not allowed to eat those .,vous n etes pas autorisee a manger ceux ci .
he is afraid of making mistakes .,il craint de commettre des erreurs .
he is always joking .,il plaisante toujours .
i m not sure what this means .,je ne suis pas sur de ce que ca veut dire .
she is busy preparing for the trip .,elle est occupee a preparer le voyage .
i m relieved that you re safe .,je suis soulagee que tu sois en securite .
she s in total denial about her husband s philandering .,elle est en totale denegation en ce qui concerne les infidelites de son mari .
i am very sorry for what i said .,je suis vraiment desolee pour ce que j ai dit .
they re worried .,ils sont inquiets .
you re almost never home .,vous n etes pratiquement jamais chez vous .
i m not going to let anything happen to you .,je ne vais rien laisser t arriver .
i m supporting you .,je te soutiens .
we re going to climb that mountain .,nous allons escalader cette montagne .
i m not a coward .,je ne suis pas un lache .
she s wearing high heels .,elle porte des talons hauts .
they re about to leave .,elles sont sur le point de partir .
i m scared of dogs .,j ai peur des chiens .
she is the one you should model yourself after .,elle est celle dont tu devrais prendre modele .
he isn t here is he ?,il n est pas la non ?
i m sorry . it ll never happen again .,je suis desole . cela ne se reproduira plus .
i m afraid of earthquakes .,j ai peur des tremblements de terre .
we re proud of our achievement .,nous sommes fiers de notre reussite .
he s right behind you .,il est juste derriere toi .
i m glad to have a roof over my head .,je suis contente d avoir un toit au dessus de la tete .
they are saving their money for the purchase of a house .,ils economisent leur argent pour l acquisition d une maison .
we re going to try .,nous allons essayer .
you re lucky to have a job .,tu es chanceux d avoir un travail .
you re very late .,vous etes en retard .
i m sorry i couldn t hear you .,je suis desole je n ai pas pu t entendre .
i m very proud of my daughter .,je suis tres fier de ma fille .
he is always trying to do the impossible .,il essaye toujours de faire l impossible .
i m not skinny .,je ne suis pas maigrichonne .
i m in bed reading .,je lis dans mon lit .
she s drop dead gorgeous .,elle est bonne a tomber raide .
you aren t a spy are you ?,tu n es pas un espion si ?
i m not very likely to be fired for doing that .,il est tres peu probable que je sois licencie pour avoir fait ca .
i m fed up with him always preaching to me .,j en ai marre qu il me fasse tout le temps la morale .
i m not speaking to you .,ce n est pas a vous que je parle .
i m alive .,je suis vivant .
i m all out of ideas .,je suis depourvu d idees .
i m sure i ll be fine .,je suis sure que ca ira bien pour moi .
you re not my type .,tu n es pas mon genre .
we re looking for a cook .,nous recherchons un cuisinier .
i m ruined .,je suis ruinee .
i m sick of this hot weather .,je ne supporte plus ce temps chaud .
he s an accredited representative of the canadian government .,c est un representant accredite du gouvernement canadien .
he s a very nice boy .,c est un garcon tres chouette .
she is guilty of theft .,elle est coupable de vol .
you re not bored are you ?,vous ne vous ennuyez pas si ?
i m going to tell you a secret .,je vais te conter un secret .
i m a pretty good student .,je suis assez bon etudiant .
we re not open on thanksgiving .,nous ne sommes pas ouvert pour thanksgiving .
i m thinking of visiting you one of these days .,je reflechis a vous rendre visite un de ces jours .
i m in the bathtub .,je suis dans la baignoire .
he s sitting in the waiting room .,il est assis en salle d attente .
i m a pretty good swimmer .,je suis assez bonne nageuse .
i m pretty sure tom wasn t there .,je suis pratiquement sure que tom n etait pas la bas .
you re nice .,t es sympa .
i m just not very busy .,je ne suis simplement pas tres occupee .
i m sure tom doesn t think that .,je suis sur que tom ne pense pas ca .
she is guilty of stealing .,elle est coupable d un vol .
you re optimistic .,tu es optimiste .
you re standing a little close .,vous vous tenez un peu pres .
she is very becoming in a black party dress .,elle est tres comme il faut dans une robe de soiree noire .
we re going to listen to their new record together .,nous allons ecouter leur nouveau disque ensemble .
i m glad you came today .,je suis content que tu sois venue aujourd hui .
you re really a hard worker .,tu es vraiment dur au travail .
you re blushing like a schoolgirl .,tu rougis comme une ecoliere .
they re green .,ils sont verts .
i m going to put on some music .,je vais mettre de la musique .
i m not doing that any longer .,je ne vais pas faire ca plus longtemps .
i m afraid the rumor is true .,je crains que la rumeur soit averee .
i m sorry but i don t have any small change .,je suis desolee mais je n ai pas la moindre petite monnaie .
you re remarkable .,tu es remarquable .
i m uneasy about it .,je suis inquiete a ce sujet .
we re a team .,nous sommes une equipe .
i m sure you re going to like this .,je suis sure que vous allez aimer ceci .
they re disposable .,ils sont jetables .
we re going to do everything we can .,on va faire tout ce qu on peut .
he is a teacher of english .,c est un professeur d anglais .
i m sorry i didn t recognize you .,je suis desolee je ne t ai pas reconnu .
you re embarrassing me .,vous me mettez mal a l aise .
i m glad you got home safely .,je suis content que tu sois rentre sain et sauf .
we re closed tomorrow .,nous serons fermes demain .
i m your doctor .,je suis votre medecin .
i m baking bread .,je cuis du pain .
i m sure they ll win .,je suis sure qu ils vont gagner .
i m extremely fat .,je suis extremement gras .
you re resilient .,vous etes endurantes .
he is reading a book .,il est en train de lire un livre .
we re just getting ready to eat .,nous nous appretons justement a manger .
i m sick of fighting .,je n en peux plus de combattre .
i m not counting on tom to do that .,je ne compte pas sur tom pour le faire .
you re not supposed to be in here .,vous n etes pas censees etre la dedans .
i m a little disappointed .,je suis quelque peu decue .
i am living the good life .,je passe du bon temps .
you re the most beautiful woman i ve ever held in my arms .,vous etes la plus belle femme que j ai jamais tenue dans mes bras .
i m kind of hungry too .,j ai aussi un peu faim .
he s come to make trouble .,il est venu pour causer des ennuis .
you are beautiful .,tu es beau .
you re kind of cute when you re mad .,vous etes assez mignonne quand vous etes en colere .
you re a good journalist .,tu es un bon journaliste .
i am dying for a cold drink .,je creve d envie d une boisson fraiche .
they re going to find you .,elles vont te trouver .
he s love struck .,il a le coup de foudre .
i m smarter than you .,je suis plus vif que toi .
i m not angry at you just very disappointed .,je ne suis pas en colere apres vous seulement tres decue .
i m glad you called .,je suis contente que vous ayez appele .
i m not surprised you don t know the answer .,je ne suis pas surpris que tu ne connaisses pas la reponse .
i m eating lunch .,je dejeune .
i m addicted to nicotine .,je suis accro a la nicotine .
they are crazy about jazz .,elles sont dingues de jazz .
you are very rich .,tu es tres riche .
i m not listening .,je n ecoute pas .
they re coming .,elles arrivent .
you re so naive .,tu es si naif .
she is being blackmailed by him .,il lui fait du chantage .
we re canadians .,nous sommes canadiens .
she s dependent on her husband .,elle depend de son mari .
he s intelligent .,il est intelligent .
you re very emotional .,vous etes tres emotive .
she s older than him .,elle est plus vieille que lui .
he is the father of three children .,il est le pere de trois enfants .
he is the stingiest person i know .,c est la personne la plus pingre que je connaisse .
i m not going to do anything about it .,je ne vais rien y faire .
you re imagining things .,vous imaginez des choses .
you re supposed to do that .,vous etes censes faire ca .
we re going tomorrow .,nous partirons demain .
i m the one who s been lied to .,je suis celui auquel on a menti .
we re growing .,nous grandissons .
she is upset .,elle est perturbee .
you re the most beautiful girl i ve ever seen .,vous etes la plus belle fille qu il m ait ete donne de voir .
they re able to sing .,ils peuvent chanter .
i m sorry to bother you so often .,je suis desolee de t ennuyer si souvent .
we re very different you and i .,nous sommes tres differents toi et moi .
i m not supposed to help you .,je ne suis pas suppose vous aider .
you re the teacher .,c est vous l enseignante .
i m all yours .,je suis toute a vous .
you re weak .,tu es faible .
i am hungry because i did not have breakfast .,j ai faim car je n ai pas pris mon petit dejeuner .
she s a determined woman .,c est une femme determinee .
we re prisoners .,nous sommes des prisonniers .
i m happy you two are friends again .,je suis heureux que tous deux soyez a nouveau amis .
i am certain that you have noble thoughts .,je suis sur que vos pensees sont nobles .
you re introverted .,tu es introverti .
you re big .,vous etes grandes .
i m happy with what i ve got .,je suis heureux avec ce que je possede .
i m fair .,j ai la peau claire .
we re happy .,nous sommes heureux .
i m afraid it s going to rain tomorrow .,je crains qu il pleuve demain .
you re lucky you didn t die .,vous avez de la chance de ne pas etre morts .
i am not a morning person .,je ne suis pas matinal .
you re probably too young to understand this .,vous etes probablement trop jeune pour le comprendre .
i m glad to have this opportunity to work with you .,je suis heureux d avoir cette occasion de travailler avec toi .
i m not really that surprised .,je ne suis pas vraiment si surprise .
we re meant for each other .,nous sommes faits l un pour l autre .
i m very concerned about your health .,je suis tres preoccupee par votre sante .
we re being attacked .,nous sommes attaques .
he s raking it in .,il s en met plein les poches .
i m not even sure if this is my key .,je ne suis meme pas sure qu il s agisse de ma cle .
we re not fools .,nous ne sommes pas des imbeciles .
you re not married are you ?,vous n etes pas marie si ?
i m focusing on my job .,je suis concentre sur mon travail .
we are anxious about her safety .,nous sommes inquiets pour sa securite .
i m staying in italy .,je reste en italie .
i m not going out tonight .,je ne vais pas sortir ce soir .
you re young and strong .,tu es jeune et forte .
he s able to speak japanese .,il sait parler japonais .
i m not eating this fish .,je ne vais pas manger ce poisson .
i m glad i have a friend like you to confide in .,je suis heureuse d avoir un ami comme vous a qui me confier .
i m too young to do that .,je suis trop jeune pour faire ca .
they re spies .,ce sont des espionnes .
we re not going with you .,on ne va pas avec toi .
i m sure the children are getting big .,je suis sure que les enfants grandissent .
i m sorry about the other day .,je suis desole pour l autre jour .
i m going to the post office to buy stamps .,je vais a la poste pour acheter des timbres .
i m getting used to this weather .,je m habitue a ce temps .
you re not upset are you ?,vous n etes pas contrariees si ?
i m speechless .,je ne trouve pas les mots .
you are no longer a baby .,tu n es plus un bebe .
he is distracted .,il est dans la lune .
i m waiting for your letter .,j attends ta lettre .
i m good at singing .,je suis bon en chant .
you re so predictable .,vous etes tellement previsibles !
i m the only one who can do that .,je suis la seule qui peut faire cela .
she is dressed in her best .,elle s est mise sur son trente et un .
you re part of this .,tu en fais partie .
i m not ready to do that .,je ne suis pas pret a faire ca .
i m thinking of buying a car .,je pense acheter une voiture .
i m smarter than you .,je suis plus vive que toi .
you re shy .,vous etes timide .
he s as blind as a bat .,il est myope comme une taupe .
i m done with you .,moi j en ai fini avec vous .
i m kneading the dough .,je petris la pate .
he is stronger than i am .,il est plus fort que moi .
i m a little behind schedule .,je suis un peu en retard sur mon planning .
you re not to leave this room .,vous ne devez pas quitter cette piece .
i am out of time .,je suis a court de temps .
i m sicker than i thought i was .,je suis plus malade que je le pensais .
i m ugly .,je suis laid .
they re hiding in the woods .,ils se cachent dans les bois .
you re eating like you haven t eaten anything all day .,tu manges comme si tu n avais rien mange de la journee .
he s a stand up guy .,c est un type sur qui on peut compter .
i am happy to hear your voice .,je me rejouis d entendre votre voix .
we re biased .,nous avons des prejuges .
i m not the only one who wants to go .,je ne suis pas le seul a vouloir y aller .
i m going away for the summer holiday .,je m en vais pour les vacances d ete .
they re safe .,ils vont bien .
he is anything but a gentleman .,c est loin d etre un gentleman .
i m with friends .,je suis avec des amis .
we re going away .,nous partons .
i m looking forward to tomorrow .,j ai hate a demain .
we re always hungry .,nous avons toujours faim .
i m happy with what i ve seen .,je suis heureuse de ce que j ai vu .
she s made up her mind and refuses to be talked out of it .,elle a pris sa decision et refuse d en etre dissuadee .
he is something of a celebrity .,il est une sorte de celebrite .
we re going to eat right now .,nous allons manger tout de suite .
i m just looking for a place to sleep .,je cherche seulement un endroit ou dormir .
i m getting old .,je me fais vieille .
we re newcomers .,nous sommes des nouvelles venues .
i m learning how to drive .,j apprends a conduire .
you re responsible for what you do .,vous etes responsable de ce que vous faites .
you re not good at this .,ca ne vous reussit pas .
i m sorry if i frightened you .,je suis desolee si je vous ai effrayees .
we are subject to the laws of nature .,nous sommes soumis aux lois de la nature .
you re not normal .,vous n etes pas normaux .
you re fantastic .,tu es fantastique .
he is planning to launch his business .,il projette de lancer son entreprise .
i m sure we re going to win .,je suis sur que nous allons gagner .
you re feeling very sleepy aren t you ?,tu as tres sommeil non ?
i m not dangerous .,je ne suis pas dangereux .
i m sorry there s nothing i can do .,desolee . je ne peux rien y faire .
she s very pretty .,elle est tres belle .
i m now your boss .,je suis maintenant votre patron .
i m doing the dishes .,je suis en train de faire la vaisselle .
i m afraid not .,j ai bien peur que non .
we re always careful .,nous sommes toujours prudents .
they re on good terms with their neighbors .,ils sont en bons termes avec leurs voisins .
you re not in a hurry are you ?,tu n es pas pressee n est ce pas ?
we are traveling on a tight budget .,nous voyageons a petit budget .
he s away on vacation .,il est absent en conges .
she is no ordinary singer .,ce n est pas une chanteuse ordinaire .
i m going to go take a nap .,je vais aller faire une sieste .
he is still on his back .,il est toujours alite .
i m not at all satisfied with her .,je ne suis pas du tout satisfait d elle .
he s playing with my cat .,il joue avec mon chat .
i m going to subscribe to these chamber music concerts .,je vais m abonner a ces concerts de musique de chambre .
i m being serious .,je suis serieuse .
i m going to let tom respond .,je vais laisser tom repondre .
she is a very poor driver .,elle est une conductrice lamentable .
i m not as rich as i was .,je ne suis pas aussi riche qu avant .
i m sure my parents won t let me go by myself .,je suis certaine que mes parents ne me laisseront pas partir seule .
i m not so confident .,je ne suis pas si confiant .
you re clever .,tu es malin .
they re early .,ils sont en avance .
i m not supposed to tell anyone about it .,je ne suis pas cense en informer qui que ce soit .
she is a friend of mine .,c est une amie a moi .
i am fed up with this wet weather .,j en ai marre de ce temps humide .
they re hiding in the woods .,elles se cachent dans les bois .
i m accustomed to sleeping in a room without air conditioning .,je suis habitue a dormir dans une piece sans climatisation .
you re the best thing that ever happened to me .,c est toi qui es la meilleure chose qui me soit jamais arrivee .
he is richer than anybody else in town .,il est plus riche que qui que ce soit d autre en ville .
you re such an idiot !,quel imbecile tu es !
i am looking forward to seeing you next sunday .,j ai hate de te revoir dimanche prochain .
i m thinking about visiting my friend next year .,j envisage de rendre visite a mon ami l annee prochaine .
i m stuck here .,je suis coincee ici .
i m all done .,j ai tout fini .
i m just tired .,je suis seulement fatiguee .
i m ready to make amends .,je suis dispose a me repentir .
he s hungarian .,il est hongrois .
they re sunbathing around the pool .,elles bronzent autour de la piscine .
i m your sister .,je suis votre s ur .
i m too old for tom .,je suis trop vieux pour tom .
i m going to stop trying to be friendly with you .,je vais arreter d essayer d etre amical a votre egard .
i m afraid even your friends can t save you now .,je crains que meme vos amis ne puissent desormais vous sauver .
she is a good swimmer .,c est une bonne nageuse .
i m glad we agree on something .,je suis ravi que nous soyons d accord sur quelque chose .
he is my brother not my father .,c est mon frere pas mon pere .
you re one of my best friends .,tu es une de mes meilleures amies .
he s leaning on a cane .,il s appuie sur une canne .
i m turning thirty this october .,je vais avoir trente ans cet octobre .
they re back where they want to be .,ils sont de retour la ou ils veulent etre .
you re not a doctor .,vous n etes pas toubib .
i m turning thirty this october .,j aurai trente ans cet octobre .
you re productive .,vous etes productifs .
he s a bigot .,c est un bigot .
i m really surprised you got a prize .,je suis vraiment surprise que vous ayez obtenu un prix .
i am so busy that i can t help you .,je suis tellement occupe que je ne peux pas vous aider .
we re almost never home .,on n est pratiquement jamais chez nous .
i m rather shy .,je suis plutot timide .
i m not from here .,je ne suis pas d ici .
you re working hard .,vous travaillez dur .
he is getting along well with his employees .,il s entend bien avec ses employes .
she s lost her car keys .,elle a perdu ses cles de voiture .
you re not allowed to swim here .,tu n es pas autorisee a nager ici .
i m trying to study .,j essaye d etudier .
i m still at home .,je suis encore chez moi .
i m a teacher .,je suis professeur .
i am truly sorry .,je suis reellement desole .
we re not prepared for that .,nous ne sommes pas preparees a cela .
you re the most handsome man i ve ever seen .,tu es le plus bel homme qu il m ait ete donne de voir .
he s the king s most trusted advisor .,il est le conseiller le plus proche du roi .
i m free on sunday .,je suis libre le dimanche .
i m very impressed .,je suis fort impressionne .
i m very sorry to hear that .,je suis effondre d entendre ca .
he is likely to win the game .,il a des chances de remporter la partie .
you re no longer welcome in my house .,vous n etes plus le bienvenu chez moi .
i m sure he mistook me for my sister .,je suis sure qu il m a confondue avec ma s ur .
we re prepared to make tough choices .,nous sommes prets a prendre des decisions difficiles .
i m worried about you .,je m inquiete pour toi .
they re looking for a scapegoat .,elles cherchent un bouc emissaire .
i m way stronger than i used to be .,je suis bien plus forte que je ne l etais avant .
i m not good with names .,j ai du mal avec les noms .
you re old enough to know this .,tu es suffisamment vieux pour savoir ca .
i m just going to run down to the bank .,je vais seulement courir jusque la banque .
we re engaged .,nous sommes fiances .
he s a tycoon .,c est un magnat .
he s gone senile .,il est devenu gateux .
you are a student .,tu es un etudiant .
we aren t married .,nous ne sommes pas maries .
i m only doing this for your own good .,je ne le fais que pour ton bien .
i m too busy to talk to you now .,je suis trop occupe pour te parler maintenant .
you re not as good as you think you are .,vous n etes pas aussi bons que vous pensez l etre .
you re probably tired .,vous etes probablement fatiguees .
you re surrounded .,vous etes cerne .
we re divorced .,nous sommes divorces .
i m glad you re early .,je suis contente que vous soyez en avance .
i m tired of keeping secrets .,j en ai marre de garder des secrets .
he s addicted to heroin .,il est heroino dependant .
you re with friends .,tu es avec des amies .
i m sorry . i didn t mean to make you cry .,je suis desole . je ne voulais pas vous faire pleurer .
you re the most beautiful girl i ve ever seen .,vous etes la plus belle fille que j aie jamais vue .
i m no different than you .,je ne suis pas differente de vous .
you re the master .,c est vous la maitresse .
i m not doing this for me .,je ne fais pas ceci pour moi .
i am divorced .,je suis divorcee .
he is proud of his collection .,il est fier de sa collection .
i m sorry for what i said . i was out of line .,je suis desole d avoir dit ce que j ai dit . j ai derape .
they re expensive .,ils sont onereux .
he is a bit like his father .,il est un peu comme son pere .
i m reasonable .,je suis raisonnable .
i m thinking of embarking on a new career .,je pense a me lancer dans une nouvelle carriere .
you are important .,vous etes importants .
i m pretty sure tom did what he said he did .,je suis sur que tom a fait ce qu il a dit .
i m tired of boston .,je suis las de boston .
i m glad that you re here .,je me rejouis que vous soyez ici .
you re funny .,vous etes marrantes .
i m not the only one who got here early .,je ne suis pas le seul a etre arrive ici tot .
i m not sure when he ll turn up .,je ne suis pas sur de quand il va faire surface .
i m all ears .,je suis tout ouie .
you re great at this .,vous etes doues pour ca .
